#   gal ID      M*           (g-r)       SFR
     261    9.3145e+08     0.7961    1.0000e-05
     264    2.6763e+08     0.6719    1.0000e-05
     265    2.8386e+07     0.6033    1.0000e-05
     266    6.4948e+08     0.7467    1.0000e-05
     267    1.2260e+08     0.6429    1.0000e-05
     268    4.2438e+08     0.6858    1.0000e-05
     272    7.4111e+08     0.7707    1.0000e-05
     273    7.5016e+08     0.7870    1.0000e-05
     275    6.9390e+07     0.6475    1.0000e-05
     277    1.2891e+08     0.6086    1.0000e-05
     279    5.6110e+08     0.7512    1.0000e-05
     280    1.7805e+08     0.6609    1.0000e-05
     281    8.3322e+08     0.8391    1.0000e-05
     283    5.4771e+07     0.6463    1.0000e-05
     284    2.5124e+07     0.6382    1.0000e-05
     286    2.3204e+08     0.6578    1.0000e-05
     287    9.9985e+07     0.6830    1.0000e-05
     288    6.5839e+07     0.6770    1.0000e-05
     289    5.1603e+07     0.6501    1.0000e-05
     290    3.2376e+07     0.5189    1.0000e-05
     291    1.2076e+08     0.6894    1.0000e-05
     292    3.0458e+08     0.6967    1.0000e-05
     295    2.7164e+08     0.6951    1.0000e-05
     296    5.5365e+08     0.7608    1.0000e-05
     297    5.9154e+07     0.5976    1.0000e-05
     300    6.7696e+08     0.7924    1.0000e-05
     302    2.0270e+08     0.7016    1.0000e-05
     305    5.1588e+07     0.6653    1.0000e-05
     306    2.7819e+07     0.6543    1.0000e-05
     308    7.9524e+08     0.8429    1.0000e-05
     309    3.0895e+07     0.6234    1.0000e-05
     310    2.5143e+08     0.7226    1.0000e-05
     311    4.8104e+08     0.7512    1.0000e-05
     317    3.5385e+08     0.7256    1.0000e-05
     319    6.9847e+08     0.8222    1.0000e-05
     320    7.3439e+08     0.8352    1.0000e-05
     321    1.2148e+08     0.6750    1.0000e-05
     322    7.0037e+07     0.6952    1.0000e-05
     324    2.0019e+08     0.6989    1.0000e-05
     326    4.1846e+08     0.7575    1.0000e-05
     328    4.2878e+08     0.7365    1.0000e-05
     330    8.8567e+07     0.6651    1.0000e-05
     331    5.4580e+07     0.6479    1.0000e-05
     332    1.2686e+08     0.6728    1.0000e-05
     333    5.7485e+08     0.7818    1.0000e-05
     334    3.6668e+08     0.7428    1.0000e-05
     337    2.3147e+08     0.6673    1.0000e-05
     343    5.9002e+07     0.6837    1.0000e-05
     345    8.4816e+07     0.6542    1.0000e-05
     346    1.7818e+08     0.6962    1.0000e-05
     348    1.1605e+08     0.6897    1.0000e-05
     350    2.9890e+07     0.6292    1.0000e-05
     351    4.7356e+07     0.4500    1.0000e-05
     352    3.2771e+08     0.7368    1.0000e-05
     353    3.5637e+07     0.6634    1.0000e-05
     355    8.3446e+07     0.6758    1.0000e-05
     360    5.7082e+07     0.6609    1.0000e-05
     361    3.1955e+08     0.7351    1.0000e-05
     362    2.8329e+08     0.7149    1.0000e-05
     364    1.1170e+08     0.7029    1.0000e-05
     368    3.0311e+08     0.7219    1.0000e-05
     370    1.7787e+08     0.7109    1.0000e-05
     373    8.5302e+07     0.6682    1.0000e-05
     374    1.2801e+08     0.6765    1.0000e-05
     375    3.0871e+08     0.7472    1.0000e-05
     380    3.4584e+07     0.6544    1.0000e-05
     381    4.3831e+08     0.7744    1.0000e-05
     382    4.3732e+07     0.6748    1.0000e-05
     383    7.3521e+07     0.6665    1.0000e-05
     384    5.4044e+07     0.6804    1.0000e-05
     386    2.3004e+08     0.7237    1.0000e-05
     387    6.0891e+07     0.6561    1.0000e-05
     390    2.6198e+07     0.5722    1.0000e-05
     393    4.8588e+07     0.6594    1.0000e-05
     395    5.5695e+08     0.8291    1.0000e-05
     396    3.4753e+08     0.7673    1.0000e-05
     399    2.9260e+08     0.6948    1.0000e-05
     400    1.1164e+08     0.6773    1.0000e-05
     401    2.9070e+08     0.7239    1.0000e-05
     405    5.0139e+07     0.6580    1.0000e-05
     407    2.5198e+07     0.6378    1.0000e-05
     408    3.9997e+08     0.7715    1.0000e-05
     417    2.0801e+08     0.7159    1.0000e-05
     418    1.1122e+08     0.6508    1.0000e-05
     420    3.5533e+08     0.7637    1.0000e-05
     423    3.6660e+08     0.7524    1.0000e-05
     425    1.5712e+08     0.6992    1.0000e-05
     428    3.5965e+07     0.6395    1.0000e-05
     429    5.5661e+07     0.6951    1.0000e-05
     432    7.5987e+07     0.6585    1.0000e-05
     435    2.5773e+07     0.6531    1.0000e-05
     436    5.6779e+07     0.6818    1.0000e-05
     438    6.0250e+07     0.6230    1.0000e-05
     441    1.9979e+08     0.7055    1.0000e-05
     448    5.0032e+07     0.6562    1.0000e-05
     453    1.5804e+08     0.6974    1.0000e-05
