#   gal ID      M*          age        k_rot        M200
  762639    1.7627e+08     3.7076     0.3745    5.5037e+10
  762823    1.2746e+08     3.3564     0.2907    5.0759e+10
  763398    2.6556e+08     6.7709     0.5091    5.8802e+10
  763583    1.2466e+08     3.9680     0.4544    5.4273e+10
  764142    8.8623e+07     5.2076     0.4806    5.3165e+10
  766541    1.3102e+08     3.6626     0.4948    4.9622e+10
  769317    2.2309e+08     4.2566     0.4347    3.0164e+10
  770657    2.4910e+08     6.9848     0.6136    5.2089e+10
  770839    1.8559e+08     4.8042     0.4700    4.1357e+10
  772484    9.5513e+07     3.8890     0.4225    4.4437e+10
  774350    1.8806e+08     5.4863     0.5578    3.5775e+10
  774688    9.8881e+07     6.4433     0.5030    4.4452e+10
  774837    1.7072e+08     5.6605     0.4968    4.6680e+10
  776615    6.4121e+07     5.2035     0.4086    4.5552e+10
  776767    8.0403e+07     3.5594     0.4293    4.0832e+10
  778625    1.2471e+08     7.6457     0.4510    4.6126e+10
  779893    2.7749e+08     6.7329     0.5105    4.4792e+10
  780838    1.7018e+08     4.8104     0.4619    2.9209e+10
  782123    4.3167e+07     4.4950     0.5734    3.8390e+10
  784401    6.8116e+07     4.3578     0.4474    1.9220e+10
  786896    2.1652e+08     4.2814     0.4370    4.1480e+10
  791167    1.3081e+08     4.6127     0.6503    3.4818e+10
  793180    4.1457e+07     7.7181     0.4530    3.4887e+10
  809575    1.3028e+08     7.7801     0.4149    2.7838e+10
  812595    6.5696e+07     4.2120     0.5696    2.8962e+10
  826940    1.3269e+08     5.9563     0.3901    2.2255e+10
  832514    4.8041e+07     6.4447     0.4994    2.3675e+10
  844911    1.0061e+08     5.3591     0.4671    1.5559e+10
