#     M*           rh* 
   1.5804e+08     1.9540
   3.1799e+08     1.1903
   8.0316e+07     1.8670
   6.7564e+07     1.4422
   1.1438e+08     1.5831
   1.2366e+08     2.3341
   3.3722e+07     1.9274
   5.1849e+07     1.7761
   5.2588e+07     1.6116
   3.5676e+07     1.6038
   1.6110e+08     1.1572
   3.5597e+08     0.4982
   6.8479e+07     2.5670
   7.1136e+07     2.4656
   1.0332e+08     1.7819
   8.6514e+07     1.4483
   3.4458e+07     1.7340
   4.0261e+07     2.0273
   2.1367e+08     1.6860
   1.1418e+08     2.3114
   9.5105e+07     1.6065
   3.6774e+07     1.8547
   1.9669e+08     1.4434
   6.3507e+07     1.4810
   3.4068e+07     1.1198
   1.0885e+08     1.8856
   1.5647e+08     1.6322
   1.9326e+08     1.5519
   1.0064e+08     1.6018
   8.5056e+07     1.6847
   3.0864e+07     1.4236
   5.4420e+07     1.6292
   2.6018e+07     1.5860
   2.3898e+08     1.3028
   1.5501e+08     1.2683
   1.4043e+08     1.3928
   3.2565e+07     1.4436
   3.5229e+07     1.7684
   3.6116e+08     0.5150
   2.5130e+08     0.7490
   6.3493e+07     1.4610
   5.8629e+07     2.0317
   5.3109e+07     1.7506
   5.8292e+07     1.4417
   4.8281e+07     1.3617
   2.9090e+08     0.7986
   1.2289e+08     1.4056
   3.4922e+07     1.2830
   3.3794e+07     1.5658
   3.4197e+07     1.5765
   1.4336e+08     1.8616
   7.6915e+07     1.8029
   2.8344e+07     1.4112
   6.6235e+07     2.0293
   8.8309e+07     1.9088
   3.5456e+07     1.8319
   3.1004e+07     2.2229
   1.4148e+08     1.9451
   3.6038e+07     1.4589
   1.2873e+08     1.5747
   1.0369e+08     1.4621
   3.0402e+07     1.6482
   5.4786e+07     1.8160
   6.5492e+07     1.4899
   2.8381e+07     2.5261
   8.4849e+07     1.8809
   4.5910e+07     1.6615
   5.8498e+07     1.6447
   7.2654e+07     1.5071
   3.1046e+07     1.5030
   3.4049e+07     0.8608
   1.2813e+08     1.3449
   2.9200e+07     1.4690
   1.0113e+08     1.4792
   3.9365e+07     1.4759
   6.7182e+07     1.7473
   8.2148e+07     1.6429
   1.9457e+08     1.2003
   8.8729e+07     1.7124
   1.8680e+08     0.7336
   3.5167e+07     1.9046
   1.0149e+08     1.5546
   1.9040e+08     0.8848
   2.1032e+08     0.7580
   4.8567e+07     1.9705
   6.9708e+07     1.9645
   5.9189e+07     2.1890
   4.8469e+07     1.6017
   3.3186e+07     1.2956
   4.7101e+07     2.1634
   1.2834e+08     1.0897
   2.9590e+07     1.4667
   2.6050e+07     1.6257
   2.5377e+07     1.8494
   1.0493e+08     1.2300
   9.3370e+07     2.2594
   9.8233e+07     1.4649
   6.9452e+07     2.1164
   8.3381e+07     1.3098
   5.2418e+07     1.7254
   3.8120e+07     1.8582
   2.7519e+07     1.2892
   3.5445e+07     1.9630
   7.2254e+07     1.3042
   3.5586e+07     1.5585
   4.9484e+07     1.8248
   2.6054e+07     1.6548
   3.3427e+07     1.5447
   3.1089e+07     1.7884
   5.8730e+07     1.6227
   2.5197e+07     1.4286
   5.2417e+07     1.6780
   3.7206e+07     1.8660
   4.5278e+07     1.6623
   3.3077e+07     1.4021
   3.5904e+07     1.9633
   1.0852e+08     1.2340
   3.0006e+07     2.1987
   4.5416e+07     1.5973
   3.0031e+07     2.1121
   3.4255e+07     1.4651
   5.1201e+07     1.6771
   1.4363e+08     0.4667
   8.6542e+07     1.1671
   3.6078e+07     1.7564
   3.2183e+07     1.7328
   4.4753e+07     1.4156
   7.9202e+07     1.5645
   3.1878e+07     1.6019
   3.0985e+07     2.0118
   8.3458e+07     1.3858
   3.3419e+07     1.5900
   7.9399e+07     1.9340
   5.1113e+07     1.6462
   3.1795e+07     1.3774
   2.7717e+07     1.5392
   4.1809e+07     1.3457
   7.3766e+07     1.3512
   1.1619e+08     0.5606
   3.6613e+07     1.6353
   5.7885e+07     1.0846
   3.4411e+07     1.6777
   3.4015e+07     1.8406
   5.1716e+07     1.6904
   3.1027e+07     2.0818
   5.6416e+07     1.3207
   8.4025e+07     0.9269
   2.6047e+07     1.2005
   7.6648e+07     1.0455
   5.2921e+07     1.6412
   9.6178e+07     0.4934
   4.2265e+07     2.0324
