#   gal ID      M*           rh* 
     382    4.3732e+07     1.3754
     383    7.3521e+07     1.9874
     384    5.4044e+07     1.4445
     386    2.3004e+08     1.3808
     387    6.0891e+07     1.8330
     390    2.6198e+07     1.2068
     393    4.8588e+07     1.4888
     395    5.5695e+08     0.3728
     396    3.4753e+08     1.4899
     399    2.9260e+08     1.4404
     400    1.1164e+08     2.1216
     401    2.9070e+08     1.8254
     405    5.0139e+07     1.6764
     407    2.5198e+07     1.3797
     408    3.9997e+08     0.8989
     417    2.0801e+08     0.7004
     418    1.1122e+08     1.5997
     420    3.5533e+08     1.3864
     423    3.6660e+08     1.3336
     425    1.5712e+08     1.6006
     428    3.5965e+07     2.1607
     429    5.5661e+07     1.3169
     432    7.5987e+07     1.8733
     435    2.5773e+07     1.3888
     436    5.6779e+07     1.2487
     438    6.0250e+07     2.2835
     441    1.9979e+08     1.4799
     448    5.0032e+07     1.5755
     453    1.5804e+08     1.9540
     455    3.1799e+08     1.1903
     456    8.0316e+07     1.8670
     459    6.7564e+07     1.4422
     461    1.1438e+08     1.5831
     463    1.2366e+08     2.3341
     464    3.3722e+07     1.9274
     467    5.1849e+07     1.7761
     473    5.2588e+07     1.6116
     483    3.5676e+07     1.6038
     485    1.6110e+08     1.1572
     486    3.5597e+08     0.4982
     487    6.8479e+07     2.5670
     490    7.1136e+07     2.4656
     491    1.0332e+08     1.7819
     492    8.6514e+07     1.4483
     493    3.4458e+07     1.7340
     495    4.0261e+07     2.0273
     500    2.1367e+08     1.6860
     506    1.1418e+08     2.3114
     507    9.5105e+07     1.6065
     508    3.6774e+07     1.8547
     513    1.9669e+08     1.4434
     514    6.3507e+07     1.4810
     515    3.4068e+07     1.1198
     517    1.0885e+08     1.8856
     518    1.5647e+08     1.6322
     519    1.9326e+08     1.5519
     521    1.0064e+08     1.6018
     523    8.5056e+07     1.6847
     525    3.0864e+07     1.4236
     531    5.4420e+07     1.6292
     532    2.6018e+07     1.5860
     534    2.3898e+08     1.3028
     538    1.5501e+08     1.2683
     540    1.4043e+08     1.3928
     542    3.2565e+07     1.4436
     545    3.5229e+07     1.7684
     548    3.6116e+08     0.5150
     550    2.5130e+08     0.7490
     560    6.3493e+07     1.4610
     566    5.8629e+07     2.0317
     567    5.3109e+07     1.7506
     568    5.8292e+07     1.4417
     569    4.8281e+07     1.3617
     570    2.9090e+08     0.7986
     579    1.2289e+08     1.4056
     588    3.4922e+07     1.2830
     590    3.3794e+07     1.5658
     594    3.4197e+07     1.5765
     595    1.4336e+08     1.8616
     601    7.6915e+07     1.8029
     602    2.8344e+07     1.4112
     619    6.6235e+07     2.0293
     622    8.8309e+07     1.9088
     624    3.5456e+07     1.8319
     633    3.1004e+07     2.2229
     642    1.4148e+08     1.9451
     645    3.6038e+07     1.4589
     650    1.2873e+08     1.5747
     652    1.0369e+08     1.4621
     653    3.0402e+07     1.6482
     656    5.4786e+07     1.8160
     659    6.5492e+07     1.4899
     660    2.8381e+07     2.5261
     662    8.4849e+07     1.8809
     663    4.5910e+07     1.6615
     673    5.8498e+07     1.6447
     675    7.2654e+07     1.5071
     686    3.1046e+07     1.5030
     687    3.4049e+07     0.8608
     696    1.2813e+08     1.3449
     698    2.9200e+07     1.4690
     701    1.0113e+08     1.4792
     703    3.9365e+07     1.4759
     713    6.7182e+07     1.7473
     714    8.2148e+07     1.6429
     716    1.9457e+08     1.2003
     721    8.8729e+07     1.7124
     749    1.8680e+08     0.7336
     751    3.5167e+07     1.9046
     753    1.0149e+08     1.5546
     755    1.9040e+08     0.8848
     760    2.1032e+08     0.7580
     764    4.8567e+07     1.9705
     779    6.9708e+07     1.9645
